C3:C4:C1:C2
Material	Number of occurrences	C1:virus	C1:bacteria	C1:fungus	C1:plant	C1:animalia 	C1:insect	C1:fish	C1:arachnid	C2:molecular entity	C2:cellular part	C2:cell	C2:tissue	C2:organism	C2:organ	C3:biological	C3:device	C3:chemical	C3:data	C4:raw data	C4:processed data	C4:analysed data
fresh frozen tissue	55												1		1	1						
saccharomyces cerevisiae bqs252. exponential growth in ypd.	30			1										1		1						
pool of 10 different cellines	29											1			1	1						
pool of male dna derived from blood	26									1					1	1						
cultured cells	20															1						
saccharomyces cerevisiae scr101 prap1. exponential growth in ypd.	18			1										1		1						
total genomic dna from fy1679 yeast strain	15			1						1				1		1						
saccharomyces cerevisiae y01089 (euroscarf) tpk2 mutant. exponential growth in ypd.	12			1										1		1						
saccharomyces cerevisiae scr101 prap1 sil. exponential growth in ypd.	12			1										1		1						
"sjy6 yeast strain, exponential growth in ypd."	12			1										1		1						
saccharomyces cerevisiae bqs252. 2h after the change to ypgal medium.	12			1										1		1						
"sjy6 yeast strain,7 h after adding doxycycline to exponential growing cells in ypd in order to deplete spt16p."	12			1										1		1						
saccharomyces cerevisiae bqs252. exponential growth 14.5 h after the change to ypgal medium.	12			1										1		1						
"sjy6 yeast strain,5 h after adding doxycycline to exponential growing cells in ypd in order to deplete spt16p."	12			1										1		1						
cfmnpv viral genomic dna	11									1					1	1						
cf203 insect cells infected with cfmnpv	11						1							1		1						
saccharomyces cerevisiae y01261 (euroscarf) tpk1 mutant. exponential growth in ypd	8			1										1		1						
saccharomyces cerevisiae bqs252. exponential growth in ypd	6			1										1		1						
saccharomyces cerevisiae scr101 prap1sil. exponential growth in ypd.	6			1										1		1						
saccharomyces cerevisiae arg1 (rpb1 myc). exponential growth in ypd	6			1										1		1						
saccharomyces cerevisiae sjy25 (spt16 myc). exponential growth in ypd	6			1										1		1						
in vitro genomic dna labeled with 33p in a yeast strain exponentially growing in ypd	4			1						1				1		1						
in vivo labeled total rna of saccharomyces cerevisiae y01261 (euroscarf) tpk1 mutant. exponential growth in ypd	4			1						1				1		1						
aspergillus niger	3			1										1		1						
stenocarpella maydis	3			1										1		1						
